species_code,alt_full_spp_code,n_locations,scientific_name,american_english_name,taxonomy_version,taxonomic_sort_order,image_url,small_image_url
goleag,NA,148,Aquila chrysaetos,Golden Eagle,2022,7799,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305364081/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305364081/320
miskit,NA,8,Ictinia mississippiensis,Mississippi Kite,2022,7850,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305526961/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305526961/320
wemhar1,NA,1,Circus aeruginosus,Eurasian Marsh-Harrier,2022,7857,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/258094771/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/258094771/320
swahar1,NA,1,Circus approximans,Swamp Harrier,2022,7865,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117372011/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117372011/320
norhar1,NA,1,Circus cyaneus,Hen Harrier,2022,7872,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/254927301/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/254927301/320
norhar2,NA,1768,Circus hudsonius,Northern Harrier,2022,7873,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305647471/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305647471/320
norhar,NA,38,Circus cyaneus/hudsonius,Hen/Northern Harrier,2022,7874,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/609700189/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/609700189/320
shshaw,NA,25775,Accipiter striatus,Sharp-shinned Hawk,2022,8031,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305676551/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305676551/320
shshaw2,shshaw,3,Accipiter striatus [velox Group],Sharp-shinned Hawk (Northern),2022,8036,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/523731381/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/523731381/320
coohaw,NA,29062,Accipiter cooperii,Cooper's Hawk,2022,8044,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60324921/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60324921/320
y00612,NA,8,Accipiter striatus/cooperii,Sharp-shinned/Cooper's Hawk,2022,8045,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/523145971/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/523145971/320
norgos,NA,1414,Accipiter gentilis,Northern Goshawk,2022,8062,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306057361/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306057361/320
norgos2,norgos,3,Accipiter gentilis atricapillus/laingi,Northern Goshawk (American),2022,8071,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223764621/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223764621/320
y00666,NA,3,Accipiter cooperii/gentilis,Cooper's Hawk/Northern Goshawk,2022,8076,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/46956001/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/46956001/320
accipi,NA,817,Accipiter sp.,Accipiter sp.,2022,8078,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/445884081/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/445884081/320
baleag,NA,2069,Haliaeetus leucocephalus,Bald Eagle,2022,8105,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306062281/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306062281/320
whteag,NA,1,Haliaeetus albicilla,White-tailed Eagle,2022,8109,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/45031271/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/45031271/320
crahaw,NA,1,Geranospiza caerulescens,Crane Hawk,2022,8123,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/39595871/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/39595871/320
comblh1,NA,5,Buteogallus anthracinus,Common Black Hawk,2022,8134,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/186190351/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/186190351/320
hrshaw,NA,95,Parabuteo unicinctus,Harris's Hawk,2022,8171,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306074621/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306074621/320
whthaw,NA,1,Geranoaetus albicaudatus,White-tailed Hawk,2022,8175,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306082531/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306082531/320
gryhaw2,NA,12,Buteo plagiatus,Gray Hawk,2022,8199,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306086891/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306086891/320
