"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"bewwre1","bewwre","2","Thryomanes bewickii [spilurus Group]","Bewick's Wren (spilurus Group)",2022,26795
"spowre1",NA,"2","Campylorhynchus gularis","Spotted Wren",2022,26830
"cacwre",NA,"1118","Campylorhynchus brunneicapillus","Cactus Wren",2022,26833
"hapwre1",NA,"1","Pheugopedius felix","Happy Wren",2022,26923
"sinwre1",NA,"1","Thryophilus sinaloa","Sinaloa Wren",2022,26932
"wren1",NA,"28","Troglodytidae sp.","wren sp.",2022,27068
"amedip",NA,"21","Cinclus mexicanus","American Dipper",2022,27090
"hilmyn",NA,"1","Gracula religiosa","Common Hill Myna",2022,27219
"eursta",NA,"58667","Sturnus vulgaris","European Starling",2022,27232
"commyn",NA,"21","Acridotheres tristis","Common Myna",2022,27278
"supsta1",NA,"1","Lamprotornis superbus","Superb Starling",2022,27379
"blumoc",NA,"2","Melanotis caerulescens","Blue Mockingbird",2022,27408
"grycat",NA,"3806","Dumetella carolinensis","Gray Catbird",2022,27413
"cubthr",NA,"1214","Toxostoma curvirostre","Curve-billed Thrasher",2022,27438
"brnthr",NA,"9716","Toxostoma rufum","Brown Thrasher",2022,27451
"lobthr",NA,"42","Toxostoma longirostre","Long-billed Thrasher",2022,27454
"benthr",NA,"63","Toxostoma bendirei","Bendire's Thrasher",2022,27460
"y00330",NA,"1","Toxostoma curvirostre/bendirei","Curve-billed/Bendire's Thrasher",2022,27464
"calthr",NA,"478","Toxostoma redivivum","California Thrasher",2022,27468
"lecthr",NA,"9","Toxostoma lecontei","LeConte's Thrasher",2022,27471
"crithr",NA,"118","Toxostoma crissale","Crissal Thrasher",2022,27476
"sagthr",NA,"82","Oreoscoptes montanus","Sage Thrasher",2022,27483
"bahmoc",NA,"1","Mimus gundlachii","Bahama Mockingbird",2022,27494
"lotmoc1",NA,"1","Mimus longicaudatus","Long-tailed Mockingbird",2022,27507
"normoc",NA,"26451","Mimus polyglottos","Northern Mockingbird",2022,27525
"easblu",NA,"20691","Sialia sialis","Eastern Bluebird",2022,27535
"easblu1","easblu","2","Sialia sialis sialis/bermudensis","Eastern Bluebird (Eastern)",2022,27536
"wesblu",NA,"1660","Sialia mexicana","Western Bluebird",2022,27545
"moublu",NA,"445","Sialia currucoides","Mountain Bluebird",2022,27553
"bluebi",NA,"14","Sialia sp.","bluebird sp.",2022,27556
"towsol",NA,"1547","Myadestes townsendi","Townsend's Solitaire",2022,27571
"varthr",NA,"5180","Ixoreus naevius","Varied Thrush",2022,27661
"obnthr1",NA,"1","Catharus aurantiirostris","Orange-billed Nightingale-Thrush",2022,27668
"veery",NA,"58","Catharus fuscescens","Veery",2022,27719
"gycthr",NA,"9","Catharus minimus","Gray-cheeked Thrush",2022,27724
"bicthr",NA,"4","Catharus bicknelli","Bicknell's Thrush",2022,27727
"swathr",NA,"239","Catharus ustulatus","Swainson's Thrush",2022,27730
"swathr2","swathr","1","Catharus ustulatus [swainsoni Group]","Swainson's Thrush (Olive-backed)",2022,27735
"herthr",NA,"7742","Catharus guttatus","Hermit Thrush",2022,27739
"herthr3","herthr","30","Catharus guttatus faxoni/crymophilus","Hermit Thrush (faxoni/crymophilus)",2022,27749
"cathus",NA,"5","Catharus sp.","Catharus sp.",2022,27752
"woothr",NA,"522","Hylocichla mustelina","Wood Thrush",2022,27753
"misthr1",NA,"1","Turdus viscivorus","Mistle Thrush",2022,27835
"redwin",NA,"2","Turdus iliacus","Redwing",2022,27854
"eurbla",NA,"3","Turdus merula","Eurasian Blackbird",2022,27860
"whtrob1",NA,"1","Turdus assimilis","White-throated Thrush",2022,27889
"clcrob",NA,"21","Turdus grayi","Clay-colored Thrush",2022,27915
"amerob",NA,"62333","Turdus migratorius","American Robin",2022,27969
"amerob3","amerob","3","Turdus migratorius nigrideus","American Robin (nigrideus)",2022,27970
"amerob1","amerob","26","Turdus migratorius [migratorius Group]","American Robin (migratorius Group)",2022,27971
"rubrob",NA,"7","Turdus rufopalliatus","Rufous-backed Robin",2022,27979
"rubrob1","rubrob","2","Turdus rufopalliatus rufopalliatus","Rufous-backed Robin (Rufous-backed)",2022,27980
"fieldf",NA,"5","Turdus pilaris","Fieldfare",2022,28144
"dusthr2",NA,"1","Turdus eunomus","Dusky Thrush",2022,28157
"thrush1",NA,"32","Turdidae sp.","thrush sp.",2022,28162
"whrsha",NA,"3","Copsychus malabaricus","White-rumped Shama",2022,28387
"eurrob1",NA,"3","Erithacus rubecula","European Robin",2022,28624
"bohwax",NA,"2719","Bombycilla garrulus","Bohemian Waxwing",2022,29252
"cedwax",NA,"17246","Bombycilla cedrorum","Cedar Waxwing",2022,29256
