"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"grerhe1",NA,"1","Rhea americana","Greater Rhea",2022,10
"gretin1",NA,"3","Tinamus major","Great Tinamou",2022,42
"wfwduc1",NA,"1","Dendrocygna viduata","White-faced Whistling-Duck",2022,228
"bbwduc",NA,"105","Dendrocygna autumnalis","Black-bellied Whistling-Duck",2022,230
"fuwduc",NA,"2","Dendrocygna bicolor","Fulvous Whistling-Duck",2022,235
"snogoo",NA,"140","Anser caerulescens","Snow Goose",2022,252
"rosgoo",NA,"5","Anser rossii","Ross's Goose",2022,256
"swagoo2","swagoo1","1","Anser cygnoides (Domestic type)","Swan Goose (Domestic type)",2022,265
"gwfgoo",NA,"13","Anser albifrons","Greater White-fronted Goose",2022,267
"gwfgoo2","gwfgoo","1","Anser albifrons gambelli/sponsa","Greater White-fronted Goose (Western)",2022,270
"domgoo1",NA,"15","Anser sp. (Domestic type)","Domestic goose sp. (Domestic type)",2022,289
"brant",NA,"3","Branta bernicla","Brant",2022,291
"bargoo",NA,"1","Branta leucopsis","Barnacle Goose",2022,299
"cacgoo1",NA,"14","Branta hutchinsii","Cackling Goose",2022,308
"alcgoo1","cacgoo1","2","Branta hutchinsii leucopareia","Cackling Goose (Aleutian)",2022,309
"ricgoo1","cacgoo1","2","Branta hutchinsii hutchinsii","Cackling Goose (Richardson's)",2022,310
"cacgoo2","cacgoo1","1","Branta hutchinsii minima","Cackling Goose (minima)",2022,311
"cangoo",NA,"2782","Branta canadensis","Canada Goose",2022,319
"cangoo4","cangoo","19","Branta canadensis moffitti/maxima","Canada Goose (moffitti/maxima)",2022,320
"cangoo1","cangoo","7","Branta canadensis [canadensis Group]","Canada Goose (canadensis Group)",2022,326
"x00415",NA,"9","Anser albifrons x Branta canadensis","Greater White-fronted x Canada Goose (hybrid)",2022,333
"x00759",NA,"4","Anser sp. (Domestic type) x Branta canadensis","Domestic goose sp. x Canada Goose (hybrid)",2022,335
"x00197",NA,"1","Anser caerulescens x Branta canadensis","Snow x Canada Goose (hybrid)",2022,336
"hawgoo",NA,"1","Branta sandvicensis","Hawaiian Goose",2022,341
"goose1",NA,"2","Anatidae (goose sp.)","goose sp.",2022,347
"mutswa",NA,"111","Cygnus olor","Mute Swan",2022,353
"truswa",NA,"33","Cygnus buccinator","Trumpeter Swan",2022,358
"tunswa",NA,"48","Cygnus columbianus","Tundra Swan",2022,360
"tunswa1","tunswa","2","Cygnus columbianus columbianus","Tundra Swan (Whistling)",2022,361
"x00418",NA,"2","Cygnus buccinator x columbianus","Trumpeter x Tundra Swan (hybrid)",2022,364
"y00471",NA,"52","Cygnus buccinator/columbianus","Trumpeter/Tundra Swan",2022,365
"swan1",NA,"4","Cygnus sp.","swan sp.",2022,370
"egygoo",NA,"11","Alopochen aegyptiaca","Egyptian Goose",2022,391
"musduc",NA,"10","Cairina moschata","Muscovy Duck",2022,415
"musduc3","musduc","105","Cairina moschata (Domestic type)","Muscovy Duck (Domestic type)",2022,416
"wooduc",NA,"1124","Aix sponsa","Wood Duck",2022,423
"manduc",NA,"3","Aix galericulata","Mandarin Duck",2022,425
"baitea",NA,"1","Sibirionetta formosa","Baikal Teal",2022,443
"buwtea",NA,"78","Spatula discors","Blue-winged Teal",2022,450
"cintea",NA,"5","Spatula cyanoptera","Cinnamon Teal",2022,451
"norsho",NA,"58","Spatula clypeata","Northern Shoveler",2022,464
"gadwal",NA,"67","Mareca strepera","Gadwall",2022,468
"x00457",NA,"1","Spatula clypeata x Mareca strepera","Northern Shoveler x Gadwall (hybrid)",2022,471
"eurwig",NA,"1","Mareca penelope","Eurasian Wigeon",2022,475
"amewig",NA,"107","Mareca americana","American Wigeon",2022,477
"x00724",NA,"1","Mareca strepera x americana","Gadwall x American Wigeon (hybrid)",2022,481
"mallar3",NA,"4565","Anas platyrhynchos","Mallard",2022,505
"mallar2","mallar3","256","Anas platyrhynchos (Domestic type)","Mallard (Domestic type)",2022,508
"mdxmal1",NA,"23","Cairina moschata x Anas platyrhynchos","Muscovy Duck x Mallard (hybrid)",2022,509
"x00205",NA,"34","Aix sponsa x Anas platyrhynchos","Wood Duck x Mallard (hybrid)",2022,510
"x00420",NA,"1","Mareca strepera x Anas platyrhynchos","Gadwall x Mallard (hybrid)",2022,512
"x00423",NA,"1","Anas platyrhynchos x wyvilliana","Mallard x Hawaiian Duck (hybrid)",2022,517
"mexduc",NA,"5","Anas diazi","Mexican Duck",2022,524
"mallar",NA,"17","Anas platyrhynchos/diazi","Mallard/Mexican Duck",2022,526
"ambduc",NA,"334","Anas rubripes","American Black Duck",2022,527
"x00004",NA,"127","Anas platyrhynchos x rubripes","Mallard x American Black Duck (hybrid)",2022,529
"y00600",NA,"59","Anas platyrhynchos/rubripes","Mallard/American Black Duck",2022,530
"motduc",NA,"78","Anas fulvigula","Mottled Duck",2022,531
"x00422",NA,"23","Anas platyrhynchos x fulvigula","Mallard x Mottled Duck (hybrid)",2022,534
"whcpin",NA,"1","Anas bahamensis","White-cheeked Pintail",2022,541
"norpin",NA,"75","Anas acuta","Northern Pintail",2022,548
"gnwtea",NA,"96","Anas crecca","Green-winged Teal",2022,563
"egwtea1","gnwtea","1","Anas crecca crecca","Green-winged Teal (Eurasian)",2022,564
"agwtea1","gnwtea","9","Anas crecca carolinensis","Green-winged Teal (American)",2022,565
"x00670",NA,"1","Anas platyrhynchos x crecca","Mallard x Green-winged Teal (hybrid)",2022,575
"dabduc1",NA,"1","Anatidae sp. (dabbling duck sp.)","dabbling duck sp.",2022,605
"canvas",NA,"25","Aythya valisineria","Canvasback",2022,616
"redhea",NA,"31","Aythya americana","Redhead",2022,617
"rinduc",NA,"171","Aythya collaris","Ring-necked Duck",2022,623
"gresca",NA,"20","Aythya marila","Greater Scaup",2022,643
"lessca",NA,"73","Aythya affinis","Lesser Scaup",2022,649
"x00613",NA,"1","Aythya collaris x affinis","Ring-necked Duck x Lesser Scaup (hybrid)",2022,651
"scaup",NA,"3","Aythya marila/affinis","Greater/Lesser Scaup",2022,653
"comeid",NA,"6","Somateria mollissima","Common Eider",2022,664
"sursco",NA,"2","Melanitta perspicillata","Surf Scoter",2022,676
"whwsco2",NA,"2","Melanitta deglandi","White-winged Scoter",2022,678
"whwsco",NA,"3","Melanitta fusca/deglandi/stejnegeri","Velvet/White-winged/Stejneger's Scoter",2022,681
"blksco2",NA,"1","Melanitta americana","Black Scoter",2022,684
"lotduc",NA,"7","Clangula hyemalis","Long-tailed Duck",2022,688
"buffle",NA,"248","Bucephala albeola","Bufflehead",2022,689
"comgol",NA,"128","Bucephala clangula","Common Goldeneye",2022,690
"bargol",NA,"11","Bucephala islandica","Barrow's Goldeneye",2022,695
"y00004",NA,"3","Bucephala clangula/islandica","Common/Barrow's Goldeneye",2022,697
"hoomer",NA,"435","Lophodytes cucullatus","Hooded Merganser",2022,700
"x00202",NA,"1","Aix sponsa x Lophodytes cucullatus","Wood Duck x Hooded Merganser (hybrid)",2022,701
"x00424",NA,"1","Bucephala albeola x Lophodytes cucullatus","Bufflehead x Hooded Merganser (hybrid)",2022,702
"commer",NA,"235","Mergus merganser","Common Merganser",2022,708
"commer1","commer","10","Mergus merganser americanus","Common Merganser (North American)",2022,712
"rebmer",NA,"66","Mergus serrator","Red-breasted Merganser",2022,716
"x00614",NA,"2","Aythya collaris x Mergus serrator","Ring-necked Duck x Red-breasted Merganser (hybrid)",2022,717
"mergan1",NA,"2","Mergellus/Lophodytes/Mergus sp.","merganser sp.",2022,721
"rudduc",NA,"36","Oxyura jamaicensis","Ruddy Duck",2022,724
"duck1",NA,"32","Anatidae (duck sp.)","duck sp.",2022,738
"placha",NA,"17","Ortalis vetula","Plain Chachalaca",2022,799
"rubcha1",NA,"2","Ortalis wagleri","Rufous-bellied Chachalaca",2022,810
"colcha1",NA,"1","Ortalis columbiana","Colombian Chachalaca",2022,816
"helgui",NA,"14","Numida meleagris","Helmeted Guineafowl",2022,916
"mouqua",NA,"88","Oreortyx pictus","Mountain Quail",2022,952
"norbob",NA,"809","Colinus virginianus","Northern Bobwhite",2022,965
"norbob1","norbob","6","Colinus virginianus [virginianus Group]","Northern Bobwhite (Eastern)",2022,966
"scaqua",NA,"169","Callipepla squamata","Scaled Quail",2022,1018
"x00688",NA,"12","Colinus virginianus x Callipepla squamata","Northern Bobwhite x Scaled Quail (hybrid)",2022,1023
"calqua",NA,"2854","Callipepla californica","California Quail",2022,1031
"gamqua",NA,"986","Callipepla gambelii","Gambel's Quail",2022,1042
"x00689",NA,"2","Callipepla squamata x gambelii","Scaled x Gambel's Quail (hybrid)",2022,1048
"y00315",NA,"1","Callipepla californica x gambelii","California x Gambel's Quail (hybrid)",2022,1049
"monqua",NA,"11","Cyrtonyx montezumae","Montezuma Quail",2022,1051
"quail1",NA,"9","Odontophoridae sp.","new world quail sp.",2022,1108
"wiltur",NA,"9186","Meleagris gallopavo","Wild Turkey",2022,1207
"rufgro",NA,"2196","Bonasa umbellus","Ruffed Grouse",2022,1216
"dusgro",NA,"12","Dendragapus obscurus","Dusky Grouse",2022,1248
"soogro1",NA,"5","Dendragapus fuliginosus","Sooty Grouse",2022,1253
"blugrs",NA,"7","Dendragapus obscurus/fuliginosus","Dusky/Sooty Grouse",2022,1258
"shtgro",NA,"100","Tympanuchus phasianellus","Sharp-tailed Grouse",2022,1259
"grpchi",NA,"1","Tympanuchus cupido","Greater Prairie-Chicken",2022,1268
"greprc1","grpchi","1","Tympanuchus cupido pinnatus","Greater Prairie-Chicken (pinnatus)",2022,1269
"wilpta",NA,"14","Lagopus lagopus","Willow Ptarmigan",2022,1282
"rocpta1",NA,"2","Lagopus muta","Rock Ptarmigan",2022,1303
"ptarmi1",NA,"1","Lagopus sp.","ptarmigan sp.",2022,1334
"sprgro",NA,"110","Canachites canadensis","Spruce Grouse",2022,1336
"frsgro1","sprgro","1","Canachites canadensis franklinii/isleibi","Spruce Grouse (Franklin's)",2022,1343
"grypar",NA,"249","Perdix perdix","Gray Partridge",2022,1378
"golphe",NA,"1","Chrysolophus pictus","Golden Pheasant",2022,1401
"rinphe1",NA,"3191","Phasianus colchicus","Ring-necked Pheasant",2022,1404
"rinphe2",NA,"2","Phasianus versicolor","Green Pheasant",2022,1435
"rinphe",NA,"7","Phasianus colchicus/versicolor","Ring-necked/Green Pheasant",2022,1440
"kalphe",NA,"1","Lophura leucomelanos","Kalij Pheasant",2022,1455
"silphe",NA,"1","Lophura nycthemera","Silver Pheasant",2022,1465
"compea",NA,"15","Pavo cristatus","Indian Peafowl",2022,1498
"indpea1","compea","7","Pavo cristatus (Domestic type)","Indian Peafowl (Domestic type)",2022,1499
"pheasa1",NA,"4","Phasianidae sp. (pheasant sp.)","pheasant sp.",2022,1537
"redjun1","redjun","2","Gallus gallus (Domestic type)","Red Junglefowl (Domestic type)",2022,1550
"gryfra",NA,"8","Ortygornis pondicerianus","Gray Francolin",2022,1563
"relpar1",NA,"2","Alectoris rufa","Red-legged Partridge",2022,1676
"chukar",NA,"73","Alectoris chukar","Chukar",2022,1680
"ercfra",NA,"1","Pternistis erckelii","Erckel's Spurfowl",2022,1731
"leagre",NA,"4","Tachybaptus dominicus","Least Grebe",2022,1807
"pibgre",NA,"133","Podilymbus podiceps","Pied-billed Grebe",2022,1813
"horgre",NA,"17","Podiceps auritus","Horned Grebe",2022,1824
"rengre",NA,"6","Podiceps grisegena","Red-necked Grebe",2022,1827
"eargre",NA,"4","Podiceps nigricollis","Eared Grebe",2022,1834
"y00229",NA,"1","Podiceps auritus/nigricollis","Horned/Eared Grebe",2022,1838
"wesgre",NA,"4","Aechmophorus occidentalis","Western Grebe",2022,1846
"rocpig",NA,"5","Columba livia","Rock Pigeon",2022,1856
"rocpig1","rocpig","12230","Columba livia (Feral Pigeon)","Rock Pigeon (Feral Pigeon)",2022,1871
"whcpig2",NA,"3","Patagioenas leucocephala","White-crowned Pigeon",2022,1958
"rebpig1",NA,"2","Patagioenas flavirostris","Red-billed Pigeon",2022,1959
"batpig1",NA,"2354","Patagioenas fasciata","Band-tailed Pigeon",2022,1968
"batpig2","batpig1","1","Patagioenas fasciata [fasciata Group]","Band-tailed Pigeon (Northern)",2022,1969
"y00319",NA,"1","Columba livia/Patagioenas fasciata","Rock/Band-tailed Pigeon",2022,1978
"eutdov",NA,"2","Streptopelia turtur","European Turtle-Dove",2022,2017
"ortdov",NA,"1","Streptopelia orientalis","Oriental Turtle-Dove",2022,2024
"eucdov",NA,"6915","Streptopelia decaocto","Eurasian Collared-Dove",2022,2033
"afcdov1",NA,"56","Streptopelia roseogrisea","African Collared-Dove",2022,2037
"afrcod1","afcdov1","193","Streptopelia roseogrisea (Domestic type)","African Collared-Dove (Domestic type or Ringed Turtle-Dove)",2022,2040
"rindov",NA,"23","Streptopelia capicola","Ring-necked Dove",2022,2052
"strept1",NA,"3","Streptopelia sp.","Streptopelia sp.",2022,2064
"spodov",NA,"183","Spilopelia chinensis","Spotted Dove",2022,2065
"zebdov",NA,"23","Geopelia striata","Zebra Dove",2022,2229
"incdov",NA,"1965","Columbina inca","Inca Dove",2022,2239
"cogdov",NA,"3251","Columbina passerina","Common Ground Dove",2022,2240
"rugdov",NA,"4","Columbina talpacoti","Ruddy Ground Dove",2022,2264
"y00320",NA,"1","Columbina sp.","ground dove/Inca Dove",2022,2281
"gfqdov",NA,"1","Geotrygon caniceps","Gray-fronted Quail-Dove",2022,2313
"wfqdov",NA,"1","Geotrygon leucometopia","White-fronted Quail-Dove",2022,2314
"whtdov",NA,"32","Leptotila verreauxi","White-tipped Dove",2022,2318
"whwdov",NA,"4048","Zenaida asiatica","White-winged Dove",2022,2382
"moudov",NA,"78999","Zenaida macroura","Mourning Dove",2022,2405
"dove1",NA,"36","Columbidae sp.","pigeon/dove sp.",2022,2831
"grbani",NA,"2","Crotophaga sulcirostris","Groove-billed Ani",2022,3002
"greroa",NA,"1132","Geococcyx californianus","Greater Roadrunner",2022,3013
"squcuc1",NA,"2","Piaya cayana","Squirrel Cuckoo",2022,3187
"yebcuc",NA,"10","Coccyzus americanus","Yellow-billed Cuckoo",2022,3206
"bkbcuc",NA,"2","Coccyzus erythropthalmus","Black-billed Cuckoo",2022,3211
"oricuc2",NA,"1","Cuculus optatus","Oriental Cuckoo",2022,3402
"lesnig",NA,"7","Chordeiles acutipennis","Lesser Nighthawk",2022,3474
"comnig",NA,"14","Chordeiles minor","Common Nighthawk",2022,3482
"nighth1",NA,"1","Chordeiles sp.","nighthawk sp.",2022,3496
"compau",NA,"1","Nyctidromus albicollis","Common Pauraque",2022,3527
"compoo",NA,"7","Phalaenoptilus nuttallii","Common Poorwill",2022,3578
"chwwid",NA,"23","Antrostomus carolinensis","Chuck-will's-widow",2022,3584
"bucnig",NA,"1","Antrostomus ridgwayi","Buff-collared Nightjar",2022,3601
"easwpw1",NA,"14","Antrostomus vociferus","Eastern Whip-poor-will",2022,3604
"whcswi",NA,"2","Streptoprocne zonaris","White-collared Swift",2022,3793
"chiswi",NA,"57","Chaetura pelagica","Chimney Swift",2022,3845
"vauswi",NA,"4","Chaetura vauxi","Vaux's Swift",2022,3846
"whtswi",NA,"7","Aeronautes saxatalis","White-throated Swift",2022,4102
"ruthum1",NA,"2","Chrysolampis mosquitus","Ruby-topaz Hummingbird",2022,4325
"peacoq1",NA,"1","Lophornis pavoninus","Peacock Coquette",2022,4394
"maghum1",NA,"26","Eugenes fulgens","Rivoli's Hummingbird",2022,4663
"plcsta",NA,"1","Heliomaster constantii","Plain-capped Starthroat",2022,4669
"buthum",NA,"7","Lampornis clemenciae","Blue-throated Mountain-gem",2022,4692
"luchum",NA,"8","Calothorax lucifer","Lucifer Hummingbird",2022,4738
"rthhum",NA,"4301","Archilochus colubris","Ruby-throated Hummingbird",2022,4741
"bkchum",NA,"1988","Archilochus alexandri","Black-chinned Hummingbird",2022,4742
"archil1",NA,"37","Archilochus colubris/alexandri","Ruby-throated/Black-chinned Hummingbird",2022,4745
"annhum",NA,"8211","Calypte anna","Anna's Hummingbird",2022,4752
"coshum",NA,"727","Calypte costae","Costa's Hummingbird",2022,4755
"x00618",NA,"2","Calypte anna x costae","Anna's x Costa's Hummingbird (hybrid)",2022,4758
"calypt",NA,"12","Calypte anna/costae","Anna's/Costa's Hummingbird",2022,4759
"calhum",NA,"169","Selasphorus calliope","Calliope Hummingbird",2022,4760
"x00619",NA,"2","Calypte anna x Selasphorus calliope","Anna's x Calliope Hummingbird (hybrid)",2022,4762
"rufhum",NA,"4046","Selasphorus rufus","Rufous Hummingbird",2022,4763
"allhum",NA,"1339","Selasphorus sasin","Allen's Hummingbird",2022,4767
"y00001",NA,"44","Selasphorus rufus/sasin","Rufous/Allen's Hummingbird",2022,4772
"brthum",NA,"346","Selasphorus platycercus","Broad-tailed Hummingbird",2022,4773
"selasp",NA,"52","Selasphorus sp.","Selasphorus sp.",2022,4788
"brbhum",NA,"172","Cynanthus latirostris","Broad-billed Hummingbird",2022,4797
"goceme1",NA,"1","Cynanthus auriceps","Golden-crowned Emerald",2022,4809
"whehum",NA,"4","Basilinna leucotis","White-eared Hummingbird",2022,4846
"mexwoo1",NA,"1","Eupherusa ridgwayi","Mexican Woodnymph",2022,4937
"vichum",NA,"19","Leucolia violiceps","Violet-crowned Hummingbird",2022,4969
"berhum",NA,"2","Saucerottia beryllina","Berylline Hummingbird",2022,4981
"cinhum1",NA,"1","Amazilia rutila","Cinnamon Hummingbird",2022,5023
"bubhum",NA,"59","Amazilia yucatanensis","Buff-bellied Hummingbird",2022,5029
"rtlhum",NA,"1","Amazilia tzacatl","Rufous-tailed Hummingbird",2022,5034
"whthum2",NA,"2","Leucochloris albicollis","White-throated Hummingbird",2022,5091
"hummin",NA,"134","Trochilidae sp.","hummingbird sp.",2022,5138
"clarai11",NA,"2","Rallus crepitans","Clapper Rail",2022,5191
"rallus",NA,"1","Rallus elegans/crepitans","King/Clapper Rail",2022,5208
"virrai",NA,"16","Rallus limicola","Virginia Rail",2022,5212
"sora",NA,"7","Porzana carolina","Sora",2022,5372
"comgal1",NA,"34","Gallinula galeata","Common Gallinule",2022,5386
"commoo",NA,"2","Gallinula chloropus/galeata","Eurasian Moorhen/Common Gallinule",2022,5395
"y00475",NA,"36","Fulica americana","American Coot",2022,5418
"amecoo","y00475","97","Fulica americana (Red-shielded)","American Coot (Red-shielded)",2022,5421
"coot1",NA,"1","Fulica sp.","coot sp.",2022,5431
"purgal2",NA,"1","Porphyrio martinica","Purple Gallinule",2022,5433
"limpki",NA,"30","Aramus guarauna","Limpkin",2022,5597
"sancra",NA,"355","Antigone canadensis","Sandhill Crane",2022,5626
"sancra1","sancra","1","Antigone canadensis canadensis","Sandhill Crane (canadensis)",2022,5627
"sancra2","sancra","1","Antigone canadensis tabida/rowani","Sandhill Crane (tabida/rowani)",2022,5628
"sancra5","sancra","21","Antigone canadensis pratensis","Sandhill Crane (pratensis)",2022,5632
"whocra",NA,"1","Grus americana","Whooping Crane",2022,5645
"bknsti",NA,"2","Himantopus mexicanus","Black-necked Stilt",2022,5696
"pagplo",NA,"10","Pluvialis fulva","Pacific Golden-Plover",2022,5742
"semplo",NA,"2","Charadrius semipalmatus","Semipalmated Plover",2022,5843
"killde",NA,"908","Charadrius vociferus","Killdeer",2022,5866
"plover2",NA,"1","Charadriidae sp.","plover sp.",2022,5883
"lobcur",NA,"4","Numenius americanus","Long-billed Curlew",2022,5941
"leasan",NA,"11","Calidris minutilla","Least Sandpiper",2022,6035
"pecsan",NA,"3","Calidris melanotos","Pectoral Sandpiper",2022,6040
"semsan",NA,"2","Calidris pusilla","Semipalmated Sandpiper",2022,6043
"wessan",NA,"1","Calidris mauri","Western Sandpiper",2022,6045
"lobdow",NA,"1","Limnodromus scolopaceus","Long-billed Dowitcher",2022,6054
"jacsni",NA,"1","Lymnocryptes minimus","Jack Snipe",2022,6056
"amewoo",NA,"249","Scolopax minor","American Woodcock",2022,6064
"comsni",NA,"17","Gallinago gallinago","Common Snipe",2022,6082
"wilsni1",NA,"47","Gallinago delicata","Wilson's Snipe",2022,6086
"redpha1",NA,"1","Phalaropus fulicarius","Red Phalarope",2022,6112
"comsan",NA,"1","Actitis hypoleucos","Common Sandpiper",2022,6115
"sposan",NA,"26","Actitis macularius","Spotted Sandpiper",2022,6116
"solsan",NA,"1","Tringa solitaria","Solitary Sandpiper",2022,6119
"wantat1",NA,"1","Tringa incana","Wandering Tattler",2022,6123
"greyel",NA,"5","Tringa melanoleuca","Greater Yellowlegs",2022,6126
"willet2","willet1","1","Tringa semipalmata semipalmata","Willet (Eastern)",2022,6131
"lesyel",NA,"2","Tringa flavipes","Lesser Yellowlegs",2022,6133
"doveki",NA,"2","Alle alle","Dovekie",2022,6285
"parauk",NA,"1","Aethia psittacula","Parakeet Auklet",2022,6339
"bklkit",NA,"2","Rissa tridactyla","Black-legged Kittiwake",2022,6355
"bongul",NA,"10","Chroicocephalus philadelphia","Bonaparte's Gull",2022,6368
"blbgul1",NA,"1","Chroicocephalus bulleri","Black-billed Gull",2022,6373
"bkhgul",NA,"2","Chroicocephalus ridibundus","Black-headed Gull",2022,6386
"grygul",NA,"1","Leucophaeus modestus","Gray Gull",2022,6395
"laugul",NA,"44","Leucophaeus atricilla","Laughing Gull",2022,6396
"fragul",NA,"3","Leucophaeus pipixcan","Franklin's Gull",2022,6400
"heegul",NA,"1","Larus heermanni","Heermann's Gull",2022,6418
"mewgul2",NA,"3","Larus brachyrhynchus","Short-billed Gull",2022,6425
"ribgul",NA,"567","Larus delawarensis","Ring-billed Gull",2022,6427
"x00616",NA,"1","Leucophaeus atricilla x Larus delawarensis","Laughing x Ring-billed Gull (hybrid)",2022,6429
"wesgul",NA,"50","Larus occidentalis","Western Gull",2022,6432
"calgul",NA,"56","Larus californicus","California Gull",2022,6437
"hergul",NA,"686","Larus argentatus","Herring Gull",2022,6440
"amhgul1","hergul","52","Larus argentatus smithsonianus","Herring Gull (American)",2022,6441
"y00478",NA,"2","Larus glaucoides","Iceland Gull",2022,6460
"thagul","y00478","4","Larus glaucoides thayeri","Iceland Gull (Thayer's)",2022,6461
"icegul1","y00478","1","Larus glaucoides glaucoides","Iceland Gull (glaucoides)",2022,6464
"icegul","y00478","6","Larus glaucoides glaucoides/kumlieni","Iceland Gull (glaucoides/kumlieni)",2022,6465
"x00617",NA,"2","Larus argentatus x glaucoides","Herring x Iceland Gull (hybrid)",2022,6467
"lbbgul",NA,"2","Larus fuscus","Lesser Black-backed Gull",2022,6469
"glwgul",NA,"85","Larus glaucescens","Glaucous-winged Gull",2022,6484
"x00051",NA,"11","Larus occidentalis x glaucescens","Western x Glaucous-winged Gull (hybrid)",2022,6485
"x00050",NA,"2","Larus argentatus x glaucescens","Herring x Glaucous-winged Gull (hybrid)",2022,6486
"glagul",NA,"24","Larus hyperboreus","Glaucous Gull",2022,6490
"gbbgul",NA,"59","Larus marinus","Great Black-backed Gull",2022,6499
"larus1",NA,"5","Larus sp.","Larus sp.",2022,6510
"larus",NA,"66","Larinae sp.","gull sp.",2022,6511
"leater1",NA,"3","Sternula antillarum","Least Tern",2022,6569
"gubter1",NA,"1","Gelochelidon nilotica","Gull-billed Tern",2022,6590
"comter",NA,"7","Sterna hirundo","Common Tern",2022,6623
"forter",NA,"11","Sterna forsteri","Forster's Tern",2022,6643
"royter1",NA,"3","Thalasseus maximus","Royal Tern",2022,6654
"santer1",NA,"1","Thalasseus sandvicensis","Sandwich Tern",2022,6660
"tern1",NA,"1","Sterninae sp.","tern sp.",2022,6679
"retloo",NA,"1","Gavia stellata","Red-throated Loon",2022,6714
"comloo",NA,"101","Gavia immer","Common Loon",2022,6720
"loon",NA,"1","Gavia sp.","loon sp.",2022,6723
"woosto",NA,"87","Mycteria americana","Wood Stork",2022,7075
"magfri",NA,"2","Fregata magnificens","Magnificent Frigatebird",2022,7089
"norgan",NA,"1","Morus bassanus","Northern Gannet",2022,7125
"anhing",NA,"88","Anhinga anhinga","Anhinga",2022,7130
"grecor",NA,"1","Phalacrocorax carbo","Great Cormorant",2022,7159
"doccor",NA,"198","Nannopterum auritum","Double-crested Cormorant",2022,7188
"neocor",NA,"12","Nannopterum brasilianum","Neotropic Cormorant",2022,7195
"cormor1",NA,"1","Phalacrocoracidae sp.","cormorant sp.",2022,7221
"amwpel",NA,"36","Pelecanus erythrorhynchos","American White Pelican",2022,7223
"brnpel",NA,"35","Pelecanus occidentalis","Brown Pelican",2022,7224
"grwpel1",NA,"2","Pelecanus onocrotalus","Great White Pelican",2022,7232
"amebit",NA,"9","Botaurus lentiginosus","American Bittern",2022,7249
"leabit",NA,"1","Ixobrychus exilis","Least Bittern",2022,7271
"grbher3",NA,"1386","Ardea herodias","Great Blue Heron",2022,7291
"grbher","grbher3","624","Ardea herodias [herodias Group]","Great Blue Heron (Great Blue)",2022,7292
"grwher","grbher3","31","Ardea herodias occidentalis","Great Blue Heron (Great White)",2022,7297
"wurher","grbher3","5","Ardea herodias wardi x occidentalis","Great Blue Heron (Wurdemann's)",2022,7298
"graher1",NA,"1","Ardea cinerea","Gray Heron",2022,7299
"greegr",NA,"330","Ardea alba","Great Egret",2022,7323
"greegr2","greegr","59","Ardea alba egretta","Great Egret (American)",2022,7326
"litegr",NA,"4","Egretta garzetta","Little Egret",2022,7340
"snoegr",NA,"140","Egretta thula","Snowy Egret",2022,7352
"libher",NA,"139","Egretta caerulea","Little Blue Heron",2022,7356
"x00615",NA,"2","Egretta thula x caerulea","Snowy Egret x Little Blue Heron (hybrid)",2022,7357
"triher",NA,"54","Egretta tricolor","Tricolored Heron",2022,7358
"redegr",NA,"1","Egretta rufescens","Reddish Egret",2022,7363
"categr",NA,"114","Bubulcus ibis","Cattle Egret",2022,7370
"whiegr1",NA,"4","Ardea/Egretta/Bubulcus sp.","white egret sp.",2022,7374
"grnher",NA,"122","Butorides virescens","Green Heron",2022,7384
"grnher1","grnher","1","Butorides virescens virescens/bahamensis","Green Heron (virescens/bahamensis)",2022,7385
"bcnher",NA,"32","Nycticorax nycticorax","Black-crowned Night-Heron",2022,7430
"bkcnih2","bcnher","1","Nycticorax nycticorax hoactli","Black-crowned Night-Heron (American)",2022,7432
"ycnher",NA,"29","Nyctanassa violacea","Yellow-crowned Night-Heron",2022,7444
"y00610",NA,"1","Nycticorax nycticorax/Nyctanassa violacea","Black-crowned/Yellow-crowned Night-Heron",2022,7453
"heron1",NA,"1","Ardeidae sp.","heron sp.",2022,7472
"whiibi",NA,"313","Eudocimus albus","White Ibis",2022,7474
"gloibi",NA,"32","Plegadis falcinellus","Glossy Ibis",2022,7479
"whfibi",NA,"3","Plegadis chihi","White-faced Ibis",2022,7480
"rosspo1",NA,"13","Platalea ajaja","Roseate Spoonbill",2022,7540
"blkvul",NA,"968","Coragyps atratus","Black Vulture",2022,7546
"turvul",NA,"3245","Cathartes aura","Turkey Vulture",2022,7550
"turvul2","turvul","26","Cathartes aura aura/septentrionalis","Turkey Vulture (Northern)",2022,7551
"vultur1",NA,"55","Cathartidae sp.","new world vulture sp.",2022,7561
"osprey",NA,"326","Pandion haliaetus","Osprey",2022,7565
"osprey1","osprey","5","Pandion haliaetus carolinensis","Osprey (carolinensis)",2022,7567
"bkskit1",NA,"1","Elanus caeruleus","Black-winged Kite",2022,7575
"whtkit",NA,"61","Elanus leucurus","White-tailed Kite",2022,7582
"hobkit",NA,"1","Chondrohierax uncinatus","Hook-billed Kite",2022,7600
"swtkit",NA,"51","Elanoides forficatus","Swallow-tailed Kite",2022,7623
"blheag1",NA,"1","Spizaetus tyrannus","Black Hawk-Eagle",2022,7764
"goleag",NA,"148","Aquila chrysaetos","Golden Eagle",2022,7799
